We	O
have	O
to	O
be	O
at	O
the	O
rendezvous	O
point	O
before	O
zero	B-IDIOM
hour	I-IDIOM
This	O
design	O
is	O
neither	B-IDIOM
fish	I-IDIOM
nor	I-IDIOM
fowl	I-IDIOM
;	O
it's	O
completely	O
unoriginal	O
You	O
forgot	O
the	O
keys	O
,	O
but	O
never	B-IDIOM
mind	I-IDIOM
,	O
I	O
have	O
a	O
spare	O
He	O
sold	O
his	O
old	O
car	O
for	O
next	B-IDIOM
to	I-IDIOM
nothing	I-IDIOM
Nine	B-IDIOM
times	I-IDIOM
out	I-IDIOM
of	I-IDIOM
ten	I-IDIOM
,	O
she	O
arrives	O
right	O
on	O
schedule	O
She	O
was	O
tired	O
of	O
the	O
daily	O
nine	B-IDIOM
to	I-IDIOM
five	I-IDIOM
grind	O
He	O
may	O
be	O
a	O
bit	O
older	O
,	O
but	O
he	O
is	O
no	B-IDIOM
spring	I-IDIOM
chicken	I-IDIOM
I	O
didn	O
't	O
believe	O
his	O
excuse	O
,	O
not	B-IDIOM
for	I-IDIOM
a	I-IDIOM
minute	I-IDIOM
Would	O
I	O
ever	O
do	O
that	O
?	O
Not	B-IDIOM
in	I-IDIOM
a	I-IDIOM
million	I-IDIOM
years	I-IDIOM
We	O
have	O
to	O
make	O
this	O
decision	O
now	O
,	O
it	O
's	O
now	B-IDIOM
or	I-IDIOM
never	I-IDIOM
As	O
far	O
as	O
I	O
'm	O
concerned	O
,	O
that	O
issue	O
is	O
dead	B-IDIOM
and	I-IDIOM
buried	I-IDIOM
If	O
you	O
tell	O
anyone	O
our	O
secret	O
,	O
you	O
are	O
dead	B-IDIOM
meat	I-IDIOM
You	O
were	O
dead	B-IDIOM
right	I-IDIOM
about	O
the	O
traffic	O
on	O
this	O
highway	O
I	O
am	O
dead	B-IDIOM
serious	I-IDIOM
about	O
quitting	O
my	O
job	O
if	O
things	O
don	O
't	O
improve	O
After	O
the	O
marathon	O
,	O
he	O
was	O
dead	B-IDIOM
to	I-IDIOM
the	I-IDIOM
world	I-IDIOM
for	O
twelve	O
hours	O
The	O
new	O
CEO	O
's	O
first	O
task	O
was	O
to	O
cut	O
out	O
the	O
dead	B-IDIOM
wood	I-IDIOM
Driving	O
that	O
fast	O
on	O
an	O
icy	O
road	O
is	O
dicing	B-IDIOM
with	I-IDIOM
death	I-IDIOM
She	O
always	O
gets	O
me	O
to	O
do	O
the	O
dirty	B-IDIOM
work	I-IDIOM
for	O
her	O
projects	O
That	O
particular	O
argument	O
has	O
been	O
done	B-IDIOM
to	I-IDIOM
death	I-IDIOM
in	O
the	O
media	O
Getting	O
this	O
job	O
was	O
a	O
dream	B-IDIOM
come	I-IDIOM
true	I-IDIOM
for	O
me	O
Many	O
voters	O
saw	O
the	O
two	O
candidates	O
as	O
the	O
dream	B-IDIOM
ticket	I-IDIOM
They	O
went	O
to	O
the	O
gala	O
dressed	B-IDIOM
up	I-IDIOM
to	I-IDIOM
the	I-IDIOM
nines	I-IDIOM
Finishing	O
the	O
report	O
by	O
the	O
deadline	O
was	O
a	O
race	B-IDIOM
against	I-IDIOM
time	I-IDIOM
Her	O
story	O
is	O
a	O
classic	O
rags	B-IDIOM
to	I-IDIOM
riches	I-IDIOM
tale	O
I	O
'll	O
be	O
at	O
the	O
game	O
,	O
rain	B-IDIOM
or	I-IDIOM
shine	I-IDIOM
The	O
security	O
guard	O
caught	O
the	O
shoplifter	O
red	B-IDIOM
handed	I-IDIOM
The	O
company	O
is	O
drowning	O
in	O
red	B-IDIOM
ink	I-IDIOM
after	O
a	O
disastrous	O
year	O
A	O
good	O
night	O
's	O
sleep	O
and	O
I	O
'll	O
be	O
right	B-IDIOM
as	I-IDIOM
rain	I-IDIOM
The	O
entire	O
system	O
needs	O
to	O
be	O
reformed	O
root	B-IDIOM
and	I-IDIOM
branch	I-IDIOM
He	O
's	O
having	O
a	O
rough	B-IDIOM
time	I-IDIOM
at	O
his	O
new	O
school	O
There	O
has	O
been	O
bad	B-IDIOM
blood	I-IDIOM
between	O
them	O
for	O
years	O
After	O
his	O
long	O
illness	O
,	O
he	O
was	O
just	O
a	O
bag	B-IDIOM
of	I-IDIOM
bones	I-IDIOM
The	O
experienced	O
negotiator	O
had	O
a	O
whole	O
bag	B-IDIOM
of	I-IDIOM
tricks	I-IDIOM
Her	O
first	O
day	O
on	O
the	O
trading	O
floor	O
was	O
a	O
real	O
baptism	B-IDIOM
of	I-IDIOM
fire	I-IDIOM
How	O
did	O
he	O
solve	O
the	O
puzzle	O
so	O
quickly	O
?	O
Beats	B-IDIOM
me	I-IDIOM
The	O
notorious	O
criminal	O
will	O
spend	O
the	O
rest	O
of	O
his	O
life	O
behind	B-IDIOM
bars	I-IDIOM
The	O
decision	O
was	O
made	O
behind	B-IDIOM
closed	I-IDIOM
doors	I-IDIOM
My	O
new	O
car	O
has	O
all	O
the	O
bells	B-IDIOM
and	I-IDIOM
whistles	I-IDIOM
In	O
the	O
ship	O
's	O
rigid	O
hierarchy	O
,	O
junior	O
sailors	O
were	O
seated	O
below	B-IDIOM
the	I-IDIOM
salt	I-IDIOM
The	O
patient	O
hovered	O
between	B-IDIOM
life	I-IDIOM
and	I-IDIOM
death	I-IDIOM
for	O
three	O
days	O
Her	O
generosity	O
is	O
beyond	B-IDIOM
words	I-IDIOM
He	O
made	O
big	B-IDIOM
bucks	I-IDIOM
working	O
in	O
the	O
tech	O
industry	O
Don't	O
worry	O
about	O
it	O
,	O
it	O
's	O
no	O
big	B-IDIOM
deal	I-IDIOM
He	O
was	O
beaten	O
black	B-IDIOM
and	I-IDIOM
blue	I-IDIOM
by	O
the	O
thugs	O
He	O
chose	O
to	O
help	O
his	O
cousin	O
over	O
his	O
friend	O
because	O
blood	B-IDIOM
is	I-IDIOM
thicker	I-IDIOM
than	I-IDIOM
water	I-IDIOM
The	O
announcement	O
of	O
his	O
resignation	O
came	O
as	O
a	O
bolt	B-IDIOM
from	I-IDIOM
the	I-IDIOM
blue	I-IDIOM
Her	O
youngest	O
child	O
is	O
as	O
bright	B-IDIOM
as	I-IDIOM
a	I-IDIOM
button	I-IDIOM
The	O
factory	O
assembled	O
the	O
products	O
by	B-IDIOM
the	I-IDIOM
numbers	I-IDIOM
,	O
without	O
any	O
creativity	O
Sooner	O
or	O
later	O
,	O
you	O
will	O
have	O
to	O
face	B-IDIOM
the	I-IDIOM
music	I-IDIOM
He	O
seemed	O
so	O
honest	O
that	O
I	O
didn	O
't	O
think	O
I	O
would	O
fall	B-IDIOM
for	I-IDIOM
it	I-IDIOM
The	O
politician	O
's	O
fall	B-IDIOM
from	I-IDIOM
grace	I-IDIOM
was	O
swift	O
after	O
the	O
scandal	O
broke	O
His	O
lecture	O
provided	O
some	O
interesting	O
food	B-IDIOM
for	I-IDIOM
thought	I-IDIOM
I	O
bought	O
this	O
beautiful	O
painting	O
for	B-IDIOM
a	I-IDIOM
song	I-IDIOM
You	O
couldn	O
't	O
get	O
a	O
ticket	O
for	B-IDIOM
love	I-IDIOM
nor	I-IDIOM
money	I-IDIOM
His	O
personality	O
was	O
larger	B-IDIOM
than	I-IDIOM
life	I-IDIOM
I	O
know	O
you	O
are	O
angry	O
,	O
but	O
it	O
is	O
best	O
to	O
let	B-IDIOM
sleeping	I-IDIOM
dogs	I-IDIOM
lie	I-IDIOM
He	O
's	O
a	O
bit	O
long	B-IDIOM
in	I-IDIOM
the	I-IDIOM
tooth	I-IDIOM
to	O
be	O
starting	O
a	O
new	O
career	O
She	O
viewed	O
the	O
world	O
as	O
a	O
vale	B-IDIOM
of	I-IDIOM
tears	I-IDIOM
Doing	O
all	O
this	O
paperwork	O
is	O
a	O
real	O
pain	B-IDIOM
in	I-IDIOM
the	I-IDIOM
neck	I-IDIOM
With	O
her	O
glowing	O
skin	O
,	O
she	O
was	O
the	O
picture	B-IDIOM
of	I-IDIOM
health	I-IDIOM
It	O
was	O
poetic	B-IDIOM
justice	I-IDIOM
when	O
the	O
greedy	O
landlord	O
was	O
finally	O
audited	O
The	O
ballerina	O
's	O
performance	O
was	O
poetry	B-IDIOM
in	I-IDIOM
motion	I-IDIOM
I	O
can't	O
talk	O
now	O
,	O
I	O
'm	O
too	O
pressed	B-IDIOM
for	I-IDIOM
time	I-IDIOM
The	O
children	O
arrived	O
home	O
safe	B-IDIOM
and	I-IDIOM
sound	I-IDIOM
after	O
