masked_sentence,idiom,label
"כאשר החליקה המכונית על פני הכביש הרטוב, <mask> של הנהג הצעיר, והוא לא הצליח להחלץ מן הצרה.",אבדו עשתונותיו,1
"כאשר החליקה המכונית על פני הכביש הרטוב, <mask> של הנהג הצעיר, והוא לא הצליח להחלץ מן הצרה.",לא נס לחו,0
פנוי מגרש הגרוטאות מהוה <mask> בהרחבת הגנה העירונית.,אבן נגף,1
פנוי מגרש הגרוטאות מהוה <mask> בהרחבת הגנה העירונית.,חמד לו לצון,0
החליפה שלבשתי ביום חתנתי מונחת בארון <mask>,אבן שאין לה הופכין,1
החליפה שלבשתי ביום חתנתי מונחת בארון <mask>,עקב אכילס,0
"ידידי מתמצא במדעי הרוח, במדעי הטבע ואף בפוליטיקה, הוא ממש <mask>",אוצר בלום,1
"ידידי מתמצא במדעי הרוח, במדעי הטבע ואף בפוליטיקה, הוא ממש <mask>",קרוב היום,0
הידיעה על הרשעתו של עורך העתון נדפסה בעתונו <mask>,אותיות של טל ומטר,1
הידיעה על הרשעתו של עורך העתון נדפסה בעתונו <mask>,כעני בפתח,0
הידיעה על הרשעת הידוען [סלבריטאי] נדפסה <mask>,אותיות של קידוש לבנה,1
הידיעה על הרשעת הידוען [סלבריטאי] נדפסה <mask>,לפניו הולך שמו,0
רבים מעובדי ההוראה במשך כל שנות קיומה של המדינה לא האמינו לשרי האוצר כיוון שבכל משא ומתן עם ארגוני המורים נתגלה כמעט כל אחד מהם <mask>,אחד בפה ואחד בלב,1
רבים מעובדי ההוראה במשך כל שנות קיומה של המדינה לא האמינו לשרי האוצר כיוון שבכל משא ומתן עם ארגוני המורים נתגלה כמעט כל אחד מהם <mask>,צרות עין,0
"לצערי, <mask> לעזור לתלמידים שמתקשים בלמודי המחשב.",אין לאל ידו,1
"לצערי, <mask> לעזור לתלמידים שמתקשים בלמודי המחשב.",עשה לו כנפיים,0
"כאשר השר נחקר במשטרה, מהרו יריביו להצהיר: נראה, שהשר חטא, שהרי <mask>",אין עשן בלא אש,1
"כאשר השר נחקר במשטרה, מהרו יריביו להצהיר: נראה, שהשר חטא, שהרי <mask>",רחץ בנקיון כפיו,0
"אדם זה, <mask> אומר את ההפך ממה שהוא חושב באמת.",אין תוכו כברו,1
"אדם זה, <mask> אומר את ההפך ממה שהוא חושב באמת.",די לחכימא ברמיזא,0
